player_id,first_name,last_name,year,team,height,oreb_rate,dreb_rate,ast_rate,stl_rate,blk_rate,tov_rate,pts_hundred,usg_rate,per,ftr,ft_perc,fga_hundred,two_perc,two_m_ast,fga_dunk_perc,three_a_rate,three_a_corner_perc,three_perc,three_m_ast,zero_three_a_perc,three_ten_a_perc,ten_threep_a_perc,cluster,new_position,old_position,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9
2012mkidd-gilchristcha,michael,kidd-gilchrist,2012,cha,79,7.2,18.9,10.1,1.4,2.8,12.7,18.2,17.9,14,0.305,0.749,15.9,0.462,0.609,0.104,0.015,0.333,0.222,0.5,0.512,0.142,0.331,5,Versatile Role Player,SF,1.33E-62,1.00E-48,5.58E-54,0,1,1.78E-26,0,5.16E-34,2.93E-23
2018lwilliamslac,lou,williams,2018,lac,73,2.2,9.4,33,1.3,0.4,11.8,35.5,32.4,21.2,0.426,0.876,26.9,0.447,0.224,0.004,0.256,0.117,0.361,0.581,0.221,0.185,0.339,9,Ball Dominant Scorer,SG,0.042881233,7.66E-95,1.18E-20,0,5.74E-09,9.78E-08,0,4.89E-34,0.957118663
2012nrobinsonchi,nate,robinson,2012,chi,69,1.6,8.6,31.4,2.2,0.4,12.6,27.7,25.1,17.4,0.183,0.799,23.7,0.45,0.279,0.003,0.378,0.124,0.405,0.716,0.188,0.122,0.313,1,High Usage Guard,PG,0.999998644,4.86E-48,1.13E-06,0,1.15E-17,2.00E-07,0,4.43E-34,2.96E-08
2015sblakedet,steve,blake,2015,det,75,1,9.2,29.5,1.2,0.4,24.6,13,14.6,9.8,0.083,0.8,12.3,0.461,0.195,0,0.629,0.258,0.344,0.712,0.104,0.05,0.216,6,Floor General,PG,1.71E-16,2.61E-34,2.97E-12,0,3.56E-10,1,0,4.20E-34,5.54E-62
2017jjacknyk,jarrett,jack,2017,nyk,75,1.6,12.1,31.3,1.1,0.2,19.5,14.9,16.7,11.5,0.169,0.84,14.2,0.459,0.195,0,0.194,0.128,0.291,0.6,0.124,0.212,0.47,6,Floor General,PG,3.04E-13,1.59E-55,1.86E-14,0,3.81E-08,0.999999962,0,3.99E-34,7.00E-30
2014jholidaynop,jrue,holiday,2014,nop,76,2.8,9,34.9,2.5,1.3,13.8,23.9,23.1,18.8,0.142,0.855,21.5,0.469,0.16,0.004,0.253,0.259,0.378,0.549,0.26,0.18,0.307,1,High Usage Guard,PG,0.999970334,8.35E-68,1.48E-12,0,4.38E-08,2.71E-05,0,3.94E-34,2.49E-06
2010drosechi,derrick,rose,2010,chi,75,3.2,9.4,38.7,1.5,1.3,13.1,35.6,32.2,23.5,0.348,0.858,28,0.481,0.204,0.02,0.241,0.052,0.332,0.594,0.294,0.164,0.301,1,High Usage Guard,PG,0.9165653,4.60E-92,4.71E-19,0,7.06E-10,6.46E-07,0,2.99E-34,0.083434053
2017scurrygsw,stephen,curry,2017,gsw,75,2.7,14.4,30.3,2.4,0.4,13.3,39.8,31,28.2,0.35,0.921,25.5,0.595,0.417,0.001,0.58,0.134,0.423,0.618,0.175,0.065,0.181,9,Ball Dominant Scorer,PG,7.69E-08,1.88E-89,1.30E-46,0,2.38E-24,3.52E-29,0,1.90E-34,0.999999923
2017jteaguemin,jeff,teague,2017,min,74,1.2,9.3,30.6,2.2,0.9,16.4,21.5,20.6,16.4,0.301,0.845,17.2,0.477,0.104,0.013,0.287,0.096,0.368,0.56,0.209,0.272,0.23,1,High Usage Guard,PG,0.993315807,1.00E-57,6.85E-10,0,6.16E-08,0.006683984,0,1.62E-34,1.47E-07
2012snovaknyk,steve,novak,2012,nyk,82,1.2,10,3.3,0.9,0.4,2.6,17.4,13,11.3,0.077,0.909,14,0.367,0.724,0,0.816,0.35,0.425,0.98,0.007,0.009,0.168,2,Stretch Forward,SF,1.15E-49,0.999999784,5.62E-17,0,1.81E-38,2.16E-07,0,1.59E-34,1.40E-174
